English,Greek
a,ένα
ability,ικανότητα
able,ικανός
about,σχετικά με
above,πάνω από
accept,αποδέχομαι
according,σύμφωνα με
account,λογαριασμός
across,απέναντι
act,υποκρίνομαι
action,δράση
activity,δραστηριότητα
actually,πράγματι
add,Προσθήκη
address,διεύθυνση
administration,διαχείριση
admit,ομολογώ
adult,ενήλικας
affect,επηρεάζουν
after,μετά
again,πάλι
against,κατά
age,ηλικία
agency,πρακτορείο
agent,μέσο
ago,πριν
agree,συμφωνώ
agreement,συμφωνία
ahead,εμπρός
air,αέρας
all,όλα
allow,επιτρέπω
almost,σχεδόν
alone,μόνος
along,κατά μήκος
already,ήδη
also,επίσης
although,αν και
always,πάντα
American,Αμερικανός
among,αναμεταξύ
amount,ποσό
analysis,ανάλυση
and,και
animal,ζώο
another,αλλο
answer,απάντηση
any,όποιος
anyone,ο καθενας
anything,Οτιδήποτε
appear,εμφανίζομαι
apply,ισχύουν
approach,πλησιάζω
area,περιοχή
argue,λογομαχώ
arm,μπράτσο
around,περίπου
arrive,φθάνω
art,τέχνη
article,άρθρο
artist,καλλιτέχνης
as,όπως και
ask,παρακαλώ
assume,υποθέτω
at,στο
attack,επίθεση
attention,προσοχή
attorney,δικηγόρος
audience,ακροατήριο
author,συγγραφέας
authority,εξουσία
available,διαθέσιμος
avoid,αποφύγει
away,Μακριά
baby,μωρό
back,πίσω
bad,κακό
bag,τσάντα
bank,τράπεζα
bar,μπαρ
base,βάση
be,είναι
beat,Ρυθμός
beautiful,πανεμορφη
because,επειδή
become,γίνομαι
bed,κρεβάτι
before,πριν
begin,αρχίζουν
behavior,η ΣΥΜΠΕΡΙΦΟΡΑ
behind,πίσω
believe,πιστεύω
benefit,όφελος
best,καλύτερος
better,καλύτερα
between,μεταξύ
beyond,πέρα
big,μεγάλο
bill,νομοσχέδιο
billion,δισεκατομμύριο
bit,κομμάτι
black,μαύρος
blood,αίμα
blue,μπλε
board,σανίδα
body,σώμα
book,Βιβλίο
born,γεννημένος
both,και τα δυο
box,κουτί
boy,αγόρι
break,Διακοπή
bring,να φερεις
brother,αδελφός
budget,προϋπολογισμός
build,χτίζω
building,Κτίριο
business,επιχείρηση
but,αλλά
buy,αγορά
by,με
call,κλήση
camera,ΦΩΤΟΓΡΑΦΙΚΗ ΜΗΧΑΝΗ
campaign,καμπάνια
can,μπορώ
cancer,Καρκίνος
capital,κεφάλαιο
card,κάρτα
care,Φροντίδα
career,καριέρα
carry,μεταφέρω
case,υπόθεση
catch,σύλληψη
cause,αιτία
cell,κύτταρο
center,κέντρο
central,κεντρικός
century,αιώνας
certain,βέβαιος
certainly,σίγουρα
chair,καρέκλα
challenge,πρόκληση
chance,ευκαιρία
change,αλλαγή
character,χαρακτήρας
charge,χρέωση
check,έλεγχος
child,παιδί
choice,επιλογή
choose,επιλέγω
church,Εκκλησία
citizen,πολίτης
city,πόλη
civil,εμφύλιος
claim,απαίτηση
class,τάξη
clear,Σαφή
clearly,σαφώς
close,Κλείσε
coach,προπονητής
cold,κρύο
collection,συλλογή
college,Κολλέγιο
color,χρώμα
come,Έλα
commercial,εμπορικός
common,κοινός
community,κοινότητα
company,Εταιρία
compare,συγκρίνω
computer,υπολογιστή
concern,ανησυχία
condition,κατάσταση
conference,διάσκεψη
Congress,Συνέδριο
consider,σκεφτείτε
consumer,καταναλωτής
contain,περιέχω
continue,να συνεχίσει
control,έλεγχος
cost,κόστος
could,θα μπορούσε
country,Χώρα
couple,ζευγάρι
course,σειρά μαθημάτων
court,δικαστήριο
cover,κάλυμμα
create,δημιουργώ
crime,έγκλημα
cultural,πολιτιστικός
culture,Πολιτισμός
cup,φλιτζάνι
current,ρεύμα
customer,πελάτης
cut,Τομή
dark,σκοτάδι
data,δεδομένα
daughter,κόρη
day,ημέρα
dead,νεκρός
deal,συμφωνία
death,θάνατος
debate,δημόσια συζήτηση
decade,δεκαετία
decide,αποφασίζω
decision,απόφαση
deep,βαθύς
defense,άμυνα
degree,βαθμός
Democrat,Δημοκράτης
democratic,δημοκρατικός
describe,περιγράφω
design,σχέδιο
despite,παρά
determine,καθορίσει
develop,αναπτύσσω
development,ανάπτυξη
die,καλούπι
difference,διαφορά
different,διαφορετικός
difficult,δύσκολος
dinner,βραδινό
direction,κατεύθυνση
director,διευθυντής
discover,ανακαλύπτω
discuss,συζητώ
discussion,συζήτηση
disease,ασθένεια
do,κάνω
doctor,γιατρός
dog,σκύλος
door,θύρα
down,κάτω
draw,σχεδιάζω
dream,όνειρο
drive,οδηγώ
drop,πτώση
drug,φάρμακο
during,στη διάρκεια
each,καθε
early,νωρίς
easy,Ανετα
eat,τρώω
economic,οικονομικός
economy,οικονομία
edge,άκρη
education,εκπαίδευση
effect,αποτέλεσμα
effort,προσπάθεια
eight,οκτώ
either,είτε
election,εκλογή
else,αλλού
employee,υπάλληλος
end,τέλος
energy,ενέργεια
enjoy,απολαμβάνω
enough,αρκετά
enter,εισαγω
entire,ολόκληρος
environment,περιβάλλον
environmental,περιβαλλοντικός
especially,ειδικά
establish,εγκαθιδρύω
even,ακόμη και
evening,απόγευμα
event,Εκδήλωση
ever,πάντα
every,κάθε
everybody,όλοι
everyone,Ολοι
everything,τα παντα
evidence,απόδειξη
exactly,ακριβώς
example,παράδειγμα
executive,εκτελεστικός
exist,υπάρχει
expect,αναμένω
experience,εμπειρία
expert,ειδικός
explain,εξηγώ
eye,μάτι
face,πρόσωπο
fact,γεγονός
factor,παράγοντας
fail,αποτυγχάνω
fall,πτώση
family,οικογένεια
far,μακριά
father,πατέρας
fear,φόβος
federal,ομοσπονδιακός
feel,αφή
few,λίγοι
field,πεδίο
fight,πάλη
figure,εικόνα
fill,γέμισμα
film,ταινία
final,τελικός
finally,τελικά
financial,χρηματοοικονομική
find,εύρημα
fine,πρόστιμο
finger,δάχτυλο
finish,φινίρισμα
fire,Φωτιά
firm,εταιρεία
first,πρώτα
fish,ψάρι
five,πέντε
floor,πάτωμα
fly,πετώ
focus,Συγκεντρώνω
follow,ακολουθηστε
food,τροφή
foot,πόδι
for,Για
force,δύναμη
foreign,ξένο
forget,ξεχνάμε
form,μορφή
former,πρώην
forward,προς τα εμπρός
four,τεσσάρων
free,Ελεύθερος
friend,φίλος
from,από
front,εμπρός
full,γεμάτος
fund,κεφάλαιο
future,μελλοντικός
game,παιχνίδι
garden,κήπος
gas,αέριο
general,γενικός
generation,γενιά
get,παίρνω
girl,κορίτσι
give,δίνω
glass,ποτήρι
go,πηγαίνω
goal,στόχος
good,Καλός
government,κυβέρνηση
great,εξαιρετική
green,πράσινος
ground,έδαφος
group,ομάδα
grow,καλλιεργώ
growth,ανάπτυξη
guess,εικασία
gun,όπλο
guy,ο τύπος
hair,μαλλιά
half,Ήμισυ
hand,χέρι
hang,κρεμάω
happen,συμβεί
happy,ευτυχισμένος
hard,σκληρά
have,έχω
head,κεφάλι
health,υγεία
hear,ακούω
heart,καρδιά
heat,θερμότητα
heavy,βαρύς
help,βοήθεια
her,αυτήν
here,εδώ
herself,εαυτήν
high,υψηλός
him,αυτόν
himself,ο ίδιος
his,του
history,ιστορία
hit,Κτύπημα
hold,Κρατήστε
home,Σπίτι
hope,Ελπίζω
hospital,νοσοκομείο
hot,ζεστό
hotel,ξενοδοχειο
hour,ώρα
house,σπίτι
how,πως
however,ωστόσο
huge,τεράστιος
human,ο άνθρωπος
hundred,εκατό
husband,σύζυγος
I,Εγώ
idea,ιδέα
identify,αναγνωρίζω
if,αν
image,εικόνα
imagine,φαντάζομαι
impact,επίπτωση
important,σπουδαίος
improve,βελτιώσει
in,σε
include,περιλαμβάνω
including,συμπεριλαμβανομένου
increase,αυξάνουν
indeed,πράγματι
indicate,υποδεικνύω
individual,άτομο
industry,βιομηχανία
information,πληροφορίες
inside,μέσα
instead,αντι αυτου
institution,ίδρυμα
interest,ενδιαφέρον
interesting,ενδιαφέρων
international,Διεθνές
interview,συνέντευξη
into,σε
investment,επένδυση
involve,εμπλέκω
issue,θέμα
it,το
item,είδος
its,του
itself,εαυτό
job,δουλειά
join,Συμμετοχή
just,μόλις
keep,διατήρηση
key,κλειδί
kid,παιδί
kill,σκοτώνω
kind,είδος
kitchen,κουζίνα
know,ξέρω
knowledge,η γνώση
land,γη
language,Γλώσσα
large,μεγάλο
last,τελευταίος
late,αργά
later,αργότερα
laugh,γέλιο
law,νόμος
lawyer,δικηγόρος
lay,λαϊκός
lead,οδηγω
leader,ηγέτης
learn,μαθαίνω
least,ελάχιστα
leave,άδεια
left,αριστερά
leg,πόδι
legal,νομικός
less,πιο λιγο
let,αφήνω
letter,γράμμα
level,επίπεδο
lie,ψέμα
life,ΖΩΗ
light,φως
like,αρέσει
likely,πιθανός
line,γραμμή
list,λίστα
listen,ακούω
little,λίγο
live,ζω
local,τοπικός
long,μακρύς
look,Κοίτα
lose,χάνω
loss,απώλεια
lot,παρτίδα
low,χαμηλός
machine,μηχανή
magazine,περιοδικό
main,κύριος
maintain,διατηρούν
major,μείζων
majority,η πλειοψηφία
make,"φτιαχνω, κανω"
man,άνδρας
manage,διαχειρίζονται
management,διαχείριση
manager,διευθυντής
many,Πολλά
market,αγορά
marriage,γάμος
material,υλικό
matter,ύλη
may,ενδέχεται
maybe,μπορεί
me,μου
mean,σημαίνω
measure,Μετρήστε
media,μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ
medical,ιατρικός
meet,συναντώ
meeting,συνάντηση
member,μέλος
memory,μνήμη
mention,αναφέρω
message,μήνυμα
method,μέθοδος
middle,Μέσης
might,θα μπορούσε
military,Στρατός
million,εκατομμύριο
mind,μυαλό
minute,λεπτό
miss,δεσποινίδα
mission,αποστολή
model,μοντέλο
modern,μοντέρνο
moment,στιγμή
money,χρήματα
month,μήνας
more,περισσότερο
morning,πρωί
most,πλέον
mother,μητέρα
mouth,στόμα
move,κίνηση
movement,κίνηση
movie,ταινία
Mr,κύριος
Mrs,κυρία
much,πολύ
music,ΜΟΥΣΙΚΗ
must,πρέπει
my,μου
myself,εγώ ο ίδιος
name,όνομα
nation,έθνος
national,εθνικός
nature,φύση
near,κοντά
nearly,σχεδόν
necessary,απαραίτητη
need,χρειάζομαι
network,δίκτυο
never,ποτέ
new,νέος
news,Νέα
newspaper,εφημερίδα
next,Επόμενο
nice,όμορφη
night,Νύχτα
no,όχι
none,κανένας
nor,ούτε
north,Βόρειος
not,δεν
note,Σημείωση
nothing,τίποτα
notice,ειδοποίηση
now,τώρα
n't,όχι
number,αριθμός
occur,συμβούν
of,του
off,μακριά από
offer,προσφορά
office,γραφείο
officer,αξιωματικός
official,επίσημος
often,συχνά
oh,ω
oil,λάδι
ok,Εντάξει
old,παλαιός
on,επί
once,μια φορά
one,ένας
only,μόνο
onto,επάνω σε
open,Άνοιξε
operation,λειτουργία
opportunity,ευκαιρία
option,επιλογή
or,ή
order,Σειρά
organization,οργάνωση
other,άλλα
others,οι υπολοιποι
our,μας
out,έξω
outside,εξω απο
over,πάνω από
own,τα δικά
owner,ιδιοκτήτης
page,σελίδα
pain,πόνος
painting,ζωγραφική
paper,χαρτί
parent,μητρική εταιρεία
part,μέρος
participant,συμμέτοχος
particular,ιδιαιτερος
particularly,ιδιαίτερα
partner,εταίρος
party,κόμμα
pass,πέρασμα
past,το παρελθόν
patient,υπομονετικος
pattern,πρότυπο
pay,πληρωμή
peace,ειρήνη
people,Ανθρωποι
per,ανά
perform,εκτελώ
performance,εκτέλεση
perhaps,ίσως
period,περίοδος
person,πρόσωπο
personal,προσωπικός
phone,τηλέφωνο
physical,φυσικός
pick,διαλέγω
picture,εικόνα
piece,κομμάτι
place,θέση
plan,σχέδιο
plant,φυτό
play,παίζω
player,παίχτης
PM,ΜΕΤΑ ΜΕΣΗΜΒΡΙΑΣ
point,σημείο
police,αστυνομία
policy,πολιτική
political,πολιτικός
politics,πολιτική
poor,Φτωχός
popular,δημοφιλής
population,πληθυσμός
position,θέση
positive,θετικός
possible,δυνατόν
power,εξουσία
practice,πρακτική
prepare,προετοιμάζω
present,παρόν
president,Πρόεδρος
pressure,πίεση
pretty,αρκετά
prevent,αποτρέψει
price,τιμή
probably,πιθανώς
problem,πρόβλημα
process,"επεξεργάζομαι, διαδικασία"
produce,παράγω
product,προϊόν
production,παραγωγή
professional,επαγγελματίας
professor,καθηγητής
program,πρόγραμμα
project,έργο
property,ιδιοκτησία
protect,προστατεύω
prove,αποδεικνύω
provide,προμηθεύω
public,δημόσιο
pull,Τραβήξτε
purpose,σκοπός
push,Σπρώξτε
put,βάζω
quality,ποιότητα
question,ερώτηση
quickly,γρήγορα
quite,αρκετά
race,αγώνας
radio,ραδιόφωνο
raise,υψώνω
range,εύρος
rate,τιμή
rather,μάλλον
reach,φθάνω
read,ανάγνωση
ready,έτοιμος
real,πραγματικός
reality,πραγματικότητα
realize,συνειδητοποιώ
really,Πραγματικά
reason,λόγος
receive,λαμβάνω
recent,πρόσφατος
recently,πρόσφατα
recognize,αναγνωρίζω
record,Ρεκόρ
red,το κόκκινο
reduce,περιορίζω
reflect,κατοπτρίζω
region,περιοχή
relate,σχετίζομαι
relationship,σχέση
religious,θρησκευτικός
remain,παραμένει
remember,θυμάμαι
remove,αφαιρώ
report,κανω ΑΝΑΦΟΡΑ
represent,εκπροσωπώ
Republican,Δημοκρατικός
require,απαιτώ
research,έρευνα
resource,πόρος
respond,απαντώ
response,απάντηση
responsibility,ευθύνη
rest,υπόλοιπο
result,αποτέλεσμα
return,ΕΠΙΣΤΡΟΦΗ
reveal,αποκαλύπτω
rich,πλούσιος
right,σωστά
rise,αύξηση
risk,κίνδυνος
road,δρόμος
rock,βράχος
role,ρόλος
room,δωμάτιο
rule,κανόνας
run,τρέξιμο
safe,ασφαλής
same,ίδιο
save,αποθηκεύσετε
say,λένε
scene,σκηνή
school,σχολείο
science,επιστήμη
scientist,επιστήμονας
score,σκορ
sea,θάλασσα
season,εποχή
seat,έδρα
second,δεύτερος
section,Ενότητα
security,ασφάλεια
see,βλέπω
seek,ψάχνω
seem,φαίνομαι
sell,Πουλώ
send,στείλετε
senior,αρχαιότερος
sense,έννοια
series,σειρά
serious,σοβαρός
serve,σερβίρισμα
service,υπηρεσία
set,σειρά
seven,επτά
several,αρκετά
sex,φύλο
sexual,σεξουαλικός
shake,σέικ
share,μερίδιο
she,αυτή
shoot,βλαστός
short,μικρός
shot,βολή
should,πρέπει
shoulder,ώμος
show,προβολή
side,πλευρά
sign,σημάδι
significant,σημαντικός
similar,παρόμοιος
simple,απλός
simply,απλά
since,Από
sing,τραγουδώ
single,μονόκλινο
sister,αδελφή
sit,Καθίστε
site,ιστοσελίδα
situation,κατάσταση
six,έξι
size,Μέγεθος
skill,επιδεξιότητα
skin,δέρμα
small,μικρό
smile,χαμόγελο
so,Έτσι
social,κοινωνικός
society,κοινωνία
soldier,στρατιώτης
some,μερικοί
somebody,κάποιος
someone,κάποιος
something,κάτι
sometimes,ωρες ωρες
son,υιός
song,τραγούδι
soon,σύντομα
sort,είδος
sound,ήχος
source,πηγή
south,Νότος
southern,νότιος
space,χώρος
speak,μιλώ
special,ειδικός
specific,ειδικός
speech,ομιλία
spend,δαπανήσει
sport,άθλημα
spring,άνοιξη
staff,προσωπικό
stage,στάδιο
stand,στάση
standard,πρότυπο
star,αστέρι
start,αρχή
state,κατάσταση
statement,δήλωση
station,σταθμός
stay,διαμονή
step,βήμα
still,ακόμη
stock,στοκ
stop,να σταματήσει
store,κατάστημα
story,ιστορία
strategy,στρατηγική
street,δρόμος
strong,ισχυρός
structure,δομή
student,μαθητης σχολειου
study,μελέτη
stuff,υλικό
style,στυλ
subject,θέμα
success,επιτυχία
successful,επιτυχής
suddenly,ξαφνικά
suffer,υποφέρω
suggest,προτείνω
summer,καλοκαίρι
support,υποστήριξη
sure,σίγουρος
surface,επιφάνεια
system,Σύστημα
table,τραπέζι
take,παίρνω
talk,ΜΙΛΑ ρε
task,έργο
tax,φόρος
teach,διδάσκω
teacher,δάσκαλος
team,ομάδα
technology,τεχνολογία
television,τηλεόραση
tell,λέγω
ten,δέκα
tend,τείνω
term,όρος
test,δοκιμή
than,από
thank,ευχαριστώ
that,ότι
the,ο
their,δικα τους
them,τους
themselves,τους εαυτούς τους
then,έπειτα
theory,θεωρία
there,εκεί
these,αυτά τα
they,αυτοί
thing,πράγμα
think,νομίζω
third,τρίτος
this,Αυτό
those,εκείνοι
though,αν και
thought,σκέψη
thousand,χίλια
threat,απειλή
three,τρία
through,διά μέσου
throughout,καθόλη τη διάρκεια
throw,βολή
thus,έτσι
time,χρόνος
to,προς την
today,σήμερα
together,μαζί
tonight,απόψε
too,πολύ
top,μπλουζα
total,σύνολο
tough,σκληρός
toward,προς
town,πόλη
trade,εμπορικές συναλλαγές
traditional,παραδοσιακός
training,εκπαίδευση
travel,ταξίδι
treat,θεραπεύω
treatment,θεραπεία
tree,δέντρο
trial,δίκη
trip,ταξίδι
trouble,ταλαιπωρία
TRUE,ΑΛΗΘΗΣ
truth,αλήθεια
try,δοκιμάστε
turn,στροφή
TV,τηλεόραση
two,δύο
type,τύπος
under,κάτω από
understand,καταλαβαίνουν
unit,μονάδα
until,μέχρι
up,πάνω
upon,επάνω σε
us,μας
use,χρήση
usually,συνήθως
value,αξία
various,διάφορος
very,πολύ
victim,θύμα
view,θέα
violence,βία
voice,φωνή
vote,ψήφος
wait,Περίμενε
walk,Περπατήστε
wall,τείχος
want,θέλω
war,πόλεμος
watch,παρακολουθώ
water,νερό
way,τρόπος
we,εμείς
weapon,όπλο
wear,φορούν
week,εβδομάδα
weight,βάρος
well,Καλά
west,δυτικά
western,δυτικός
what,τι
whatever,οτιδήποτε
when,πότε
where,που
whether,αν
which,οι οποίες
while,ενώ
white,άσπρο
who,ΠΟΥ
whole,ολόκληρος
whom,ποιόν
whose,του οποίου
why,Γιατί
wide,πλατύς
wife,γυναίκα
will,θα
win,νίκη
wind,άνεμος
window,παράθυρο
wish,επιθυμία
with,με
within,στα πλαίσια
without,χωρίς
woman,γυναίκα
wonder,θαύμα
word,λέξη
work,δουλειά
worker,εργάτης
world,κόσμος
worry,ανησυχία
would,θα
write,γράφω
writer,συγγραφέας
wrong,λανθασμένος
yard,αυλή
yeah,ναι
yes,Ναί
yet,Ακόμη
you,εσείς
young,νέος
your,τα δικα σου
yourself,ο ίδιος
